COD PROVEIDOR;NUM. FRA.;DATA;Base Imposable;% IVA;Trimestre;Empty00;Num;Extraccio: NUM. FRA.2;Extraccio: DATA;Extraccio: NIF;Extraccio: PROVEIDOR;Extraccio: COMPTE;Extraccio: Base Imposable;Extraccio: %;Empty01;Empty02;Empty03;Empty04;Empty05;Extraccio: ES FACTURA?  SI/NO;Extraccio: ACTIVITAT EXEMPTA IVA?;Extraccio: PAIS;Extraccio: DESCRIPCIO INVERSIO
Gas;21240708010336904;08/07/2024;27,76;21;3; ;4;21240708010336904;08/07/2024;A95758389;Iberdrola;629;27,76;0,21; ; ; ; ; ;SI;;España;Gas
Internet y movil;CI00000069186444;04/07/2024;33,76;21;3; ;5;CI00000069186444;04/07/2024;A80907397;Vodafone España S.A.U;629;33,76;0,21; ; ; ; ; ;SI;;España;Internet y movil
Internet y movil;CI00000070257192;04/08/2024;33,76;21;3; ;6;CI00000070257192;04/08/2024;A80907397;Vodafone España S.A.U;629;33,76;0,21; ; ; ; ; ;SI;;España;Internet y movil
Internet y movil;CI00000071329720;16/09/2024;33,88;21;3; ;7;CI00000071329720;16/09/2024;A80907397;Vodafone España S.A.U;629;33,88;0,21; ; ; ; ; ;SI;;España;Internet y movil
Aigüa;20245441447;12/08/2024;29,44;10;3; ;8;20245441447;12/08/2024;A95758389;Aigues de Barcelona;629;29,44;0,1; ; ; ; ; ;SI;;España;Aigüa
Llum;21240816010041007;16/08/2024;225,4;10;3; ;9;21240816010041007;16/08/2024;A66098435;Iberdrola;628;225,4;0,1; ; ; ; ; ;SI;;España;Llum
Llum;21240912010036318;12/09/2024;176,31;10;3; ;10;21240912010036318;12/09/2024;A66098435;Iberdrola;628;176,31;0,1; ; ; ; ; ;SI;;España;Llum
Gas;21240829010333797;29/08/2024;25,4;21;3; ;11;21240829010333797;29/08/2024;A95758389;Iberdrola;629;25,4;0,21; ; ; ; ; ;SI;;España;Gas
Serveis Microsoft Office;G054020637;05/08/2024;5,6;21;3; ;12;G054020637;05/08/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Serveis Microsoft Office;G057667032;05/09/2024;5,6;21;3; ;13;G057667032;05/09/2024;ESB78603495;Microsoft Iberica S.R.L.;629;5,6;0,21; ; ; ; ; ;SI;;España;Serveis Microsoft Office
Gestors;2148/1;26/09/2024;46;21;3; ;14;2148/1;26/09/2024;B66379900;TRIADA ASSESSORS, SLP;623;46;0,21; ; ; ; ; ;SI;;España;Gestors
Aigüa;20246975472;14/10/2024;26,33;10;4; ;1;20246975472;14/10/2024;A95758389;Aigues de Barcelona;629;26,33;0,1; ; ; ; ; ;SI;;España;Aigüa
Aigüa;20248443723;10/12/2024;29,44;10;4; ;2;20248443723;10/12/2024;A95758389;Aigues de Barcelona;629;29,44;0,1; ; ; ; ; ;SI;;España;Aigüa
Llum;21241014010032452;14/10/2024;72,25;10;4; ;3;21241014010032452;14/10/2024;A66098435;Iberdrola;628;72,25;0,1; ; ; ; ; ;SI;;España;Llum
Llum;21241114010036927;14/11/2024;72,87;10;4; ;4;21241114010036927;14/11/2024;A66098435;Iberdrola;628;72,87;0,1; ; ; ; ; ;SI;;España;Llum
